-,"AC
        Type",AC Type,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln
ACCIDENT DETAILS,Mi-8,Mi-8?,18   (passengers:15  crew:3),"April 10, 2010",10   (passengers:8  crew:2),?,?,"Near Yelizovo, Russia",Kamchatka Airlines,?,Elizovo - Dukup,"The helicopter was flying German and Russian snowboarders during a showboarding tour when it crash, 67 km away from Yelizovo.",0327,2010,?
ACCIDENT DETAILS,Airbus A300B4-203F,Airbus A300B4-203FXA-TUE,5   (passengers:0  crew:5),"April 13, 2010",5   (passengers:0  crew:5),302,2,"Monterey, Mexico",Airborne Freight Company Union,XA-TUE,Mexico City - Monterey - Los Angeles,"The cargo plane was making a stop at Monterey on its way to Los Angeles when it crashed 1.5 km from the airport, while making a final approach to General Mariano Escobedo International Airport. The aircraft was cleared to land on Runway 11, when the crew decided to abort the landing. The plane then crashed onto Avenida Miguel Aleman roadway, striking a car and killing the driver. The plane then broke apart and burst into flames.",2315,2010,078
ACCIDENT DETAILS,Antonov An-12BP,Antonov An-12BPUP-AN216,6   (passengers:0  crew:6),"April 21, 2010",3   (passengers:0  crew:3),?,0,"Pampanga, Philippines",Interisland Airlines,UP-AN216,Cebu - Pampanga,"An electrical fire forced the cargo plane's pilot to attempt an emergency landing in a rice field when the plane crashed, broke into pieces, and burst into flames.",2110,2010,402001
ACCIDENT DETAILS,Airbus A330-202,Airbus A330-2025A-ONG,104   (passengers:93  crew:11),"May 12, 2010",103   (passengers:92  crew:11),771,0,"Tripoli, Libya",Afriqiyah Airways,5A-ONG,"Johannesburg, South Africa - Tripoli, Libya","The aircraft crashed and disintegrated one-half a mile from the runway while attempting to land at Tripoli International Airport. Ninety-two passenger and a crew of 11 were killed. A 8 year old Dutch boy was the sole survivor. Failure of the two pilots to coordinate their actions during the initial approach, with the final approach attempted below the minimum descent altitude and the runway not visible. Realizing that the approach had been misjudged, the co-pilot, who was in command, attempted to pull the plane up in order to perform a new landing, which disabled the auto pilot, but the captain had retaken control of the aircraft without informing his co-pilot, leading to the crash. Lack of coordination between the two pilots and the inappropriate application of flight control inputs during the attemped go-around. The length of the trip and crew fatigue was a factor.",0610,2010,1024
ACCIDENT DETAILS,Antonv An-28,Antonv An-28PZ-TSV,8   (passengers:6  crew:2),"May 15, 2010",8   (passengers:6  crew:2),?,0,"Near Poeketi, Suriname",Blue Wings Airlines,PZ-TSV,Godo Holo Air Strip - Paramaribo,"The plane crashed during poor weather into a forest ,10 minutes after taking off from Godo Olo Air Strip.",1510,2010,1AJ007-10
ACCIDENT DETAILS,Antonv An-24B,Antonv An-24BYA-PIS,44   (passengers:38  crew:6),"May 17, 2010",44   (passengers:38  crew:6),?,0,"Salang pass, Afghanistan",Pamir Airlines,YA-PIS,Kunduz - Kabul,"The plane crashed in Salang pass, 60 miles north of Kabul. Weather was poor in the general area. It was reported that an early ground proximity warning system was misunderstood by the crew, either due to language problems or because of previous false alerts",0930,2010,27307903
ACCIDENT DETAILS,Boeing 737-8HG,Boeing 737-8HGVT-AXV,166   (passengers:160  crew:6),"May 22, 2010",159   (passengers:153  crew:6),812,0,"Mangalore, India",Air India Express,VT-AXV,"Dubai, UAE - Mangalore, India","While attempting to land at Mangalore Airport, the plane overran the runway, slid down a ravine into a wooded valley, and burst into flames. Despite being warned by the aircraft computers to ""pull up, the captain did not heed the warning. He also ignored the co-pilot telling him to go-around,",0610,2010,36333/2481
ACCIDENT DETAILS,CASA 212 Aviocar,CASA 212 AviocarTN-AFA,11   (passengers:9  crew:2),"June 19, 2010",11   (passengers:9  crew:2),?,0,"Yangadou, Cameroon",Aero Service,TN-AFA,Yaoundé-Nsimalen - Yangadou Mine Airstrip,The plane crashed in a remote area on the Cameroon / Congo border. The plane was carrying executives of the mining company Sundance Resources.,1000,2010,151
ACCIDENT DETAILS,Beechcraft A100 King Air,Beechcraft A100 King AirC-FGIN,7   (passengers:5  crew:2),"June 23, 2010",7   (passengers:5  crew:2),201,0,"Quebec, Canada",Aéropro,C-FGIN,Quebec -Sept-Îles,"The pilot reported a problem with his right engine after take off and tried to return for an emergency landing but crashed into a private field and exploded, approximately 1 mile north of Jean-Lesage International Airport. The aircraft took off with reduced engine power not recommended by the manufacturer. Once the right engine stopped working, the pilots didn't rotate the engine's blades to be parallel with the flow of air, a procedure called feathering that helps to reduce drag. The crew were not properly trained for emergencies, and mechanical defects were not being logged. The companys license was revoked.",0559,2010,B-164
ACCIDENT DETAILS,Antonov AN-2,Antonov AN-253,14   (passengers:10  crew:4),"July 05, 2010",12   (passengers:?  crew:3),?,0,"Tuzla, Romania",Military - Romainian Air Force,53,Tuzla - Tuzla,"The military plane, on parachuting training flight, crashed 2 km from the airport  into a field shortly after taking off. Operational errors upon take-off most likely caused the accident.",1740,2010,1G194-53
ACCIDENT DETAILS,Airbus A321-231,Airbus A321-231AP-BJB,152   (passengers:146  crew:6),"July 28, 2010",152   (passengers:146  crew:6),202,0,"Islamabad, Pakistan",Airblue,AP-BJB,Karachi - Islamabad,"The passenger plane crashed in the Margalla hills while attempting to land at Benazir Bhutto International Airport. The tower lost contact with the plane as it was about to land in poor weather conditions. Controlled Flight into Terrain, in which aircrew failed to display superior judgment and professional skills in a self created unsafe environment. In their pursuit to land in inclement weather, they committed serious violations of procedures and breaches of flying discipline, which put the aircraft in an unsafe condition over dangerous terrain at low altitude.",0945,2010,1218
ACCIDENT DETAILS,McDonnell Douglas C-17A Globemaster III,McDonnell Douglas C-17A Globemaster III00-0173,4   (passengers:0  crew:4),"July 28, 2010",4   (passengers:0  crew:4),?,0,"Near Elmendorf AFB, Alaska",Military - US Air Force,00-0173,Practice maneuvers,"The cargo plane took off from runway 6 to practice for upcoming maneuvers. After the initial climb, the pilot made a sharp right turn. As the aircraft banked, the stall warning system activated . Instead of implementing stall recovery procedures, the pilot continued the turn as planned and the aircraft entered a stall from which recovery was not possible. The aircraft impacted a wooded area northwest of the airfield.",1822,2010,P-73
ACCIDENT DETAILS,Fairchild C-123K,Fairchild C-123KN709RR,3   (passengers:0  crew:3),"August 01, 2010",3   (passengers:0  crew:3),?,0,"Near Denali National Park, Alaska",All West Freight,N709RR,Palmer-Wolf - Unalakleet,"The cargo plane crashed into Mount Healy while en route. The pilot's failure to maintain adequate airspeed to avoid a low altitude stall, resulting in a loss of control and collision with terrain.",1515,2010,20158
ACCIDENT DETAILS,Antonov An-24 V,Antonov An-24 VRA-46524,15   (passengers:12  crew:3),"August 03, 2010",12   (passengers:11  crew:1),KYU9357,0,"Igarka, Russia",Katekavia Airline,RA-46524,Karsnoyarsk - Igarka,"The plane crashed while on approach to Igarka Airport in adverse weather conditions. Crew tried to land in below weather minimums. Execution of an approach in conditions worse than the weather minima of the airfield, aircraft, and pilot. The failure of the crew to take a timely decision for a missed approach when the plane descended below the minimum safe height in the absence of reliable visual contact with approach lights and runway lights. This caused the aircraft to strike trees and the ground in controlled flight.",0119,2010,47310003
ACCIDENT DETAILS,de Havilland Canada DH-3T Otter,de Havilland Canada DH-3T OtterN455A,9   (passengers:8  crew:1),"August 09, 2010",5   (passengers:4  crew:1),?,0,"Near Dillingham, Alaska",GCI Communications Corp.,N455A,Lake Nerka - Nushagak River,"The floatplane, carrying passengers to a fishing site crashed into a brush and rock covered mountainside in light rain and fog. Former Alaska U.S. Senator, Ted Stevens, was among those killed.The NTSB found the probable cause to be the pilots temporary unresponsiveness for reasons that could not be established from the available information. There was no mechanical problem with the plane and that weather was not likely a factor in the crash.",1445,2010,206
ACCIDENT DETAILS,Boeing B-737-73V,Boeing B-737-73VHK-4882,131   (passengers:125  crew:6),"August 16, 2010",2   (passengers:2  crew:0),?,0,"San Andreas Island, Colombia",AIRES Colombia,HK-4882,Bogota - San Andreas Island,"The airliner crashed onto the runway and broke in two during a major storm. One hundred twenty four people were injured. One passenger died of a heart attack and a 11- year-old girl died later of head injuries. Execution of the flight below the angle of approach, due to a misjudgment of the crew, believing to be much higher, leading the aircraft to fly a typical trajectory of a 'black hole' illusion, which was experienced during the night-time approach to a runway with low contrast surrounded in bright focused lights, aggravated by bad weather of heavy rain.",0149,2010,32416/1270
ACCIDENT DETAILS,de Havilland Canada DHC-2 Beaver,de Havilland Canada DHC-2 BeaverN9313Z,4   (passengers:3  crew:1),"August 21, 2010",4   (passengers:3  crew:1),?,0,"Off Kaminshak Bay, Alaska",Branch River Air Service,N9313Z,Swikshak Lagoon - King Salmon,Crashed in the water off Katmai National Park. Only fragments of the plane were foud. No bodies were ever found. The probable cause was undetermined.,1412,2010,441
ACCIDENT DETAILS,Dornier 228-101,Dornier 228-1019NAHE,14   (passengers:11  crew:3),"August 24, 2010",14   (passengers:11  crew:3),101,0,"Bastipur, Nepal",Agni Air,9NAHE,Kathmandu - Lukla,"The crew decided to divert to Simara Airport due to poor weather conditions at Kathmandu. Contact with ATC was lost when the plane crashed into a hillside at 9,000 ft., 20 miles SSW of Kathmandu. The crew members became disoriented after they lost contact with the ATC due to failure of both generators and the exhaustion of the backup battery.",0730,2010,0732
ACCIDENT DETAILS,Embraer ERJ-190-100LR,Embraer ERJ-190-100LRB-3130,96   (passengers:91  crew:5),"August 24, 2010",44   (passengers:41  crew:3),?,0,"Yichun, China",Henan Airlines,B-3130,Harbin - Yichun,"The plane overshot the runway while landing and burst into flames. The pilot violated aviation rules during the descent, did not locate the runway before landing and abandoned the crashed aircraft.",2210,2010,19000223
ACCIDENT DETAILS,Let 410UVP-E,Let 410UVP-E9Q-CCN,20   (passengers:17  crew:3),"August 25, 2010",19   (passengers:16  crew:3),?,0,"Bandundu, Congo Democratic Republic",Filair,9Q-CCN,Kinshasa - Bandundu,"The plane crashed 2km from the airstirp and impacted a house as it attempted to land following a go-around. A passenger brought aboard a crocodile hidden in a sports bag. The crocodile escaped, causing a panic among passengers who all rushed to one end of the plane. This caused an imbalance in the aircraft which led to loss of control and a crash.",1300,2010,912608
ACCIDENT DETAILS,Mi 17V-5,Mi 17V-5GN10139,10   (passengers:?  crew:?),"August 27, 2010",10   (passengers:?  crew:?),?,0,"Buena Vista, Venezuela",Military - Venezuelan National Guard,GN10139,Buena Vista - Cararabo,"The helicopter crashed while taking off on a counter-drug mission, killing all 10 soldiers on board. They were searching for a group of suspected drug traffickers in southwestern Apure state.",?,2010,?
ACCIDENT DETAILS,Boeing B747-44AF,Boeing B747-44AFN571UP,2   (passengers:0  crew:2),"September 03, 2010",2   (passengers:0  crew:2),006,0,"Dubai, United Arab Emirates",United Parcel Service- UPS,N571UP,"Dubai - Bonn, Germany","The cargo plane crashed 10 km North of Dubai Airport shortly after taking off. The plane was attempting to return to the airport when the accident happened. The data recorder indicated there was smoke or fire coming from the cargo area. The cargo plane's pilots struggled to see their primary flight instrument displays as thick smoke filled the cockpit. The pilots could  not manually control the planes elevation and direction, probably because cables running above the likely location of a cargo fire lost tension. The fire began near where a shipment of lithium batteries were stored.",1939,2010,35668/1393
ACCIDENT DETAILS,Fletcher FU-24-954,Fletcher FU-24-954ZK-EUF,9   (passengers:8  crew:1),"September 04, 2010",9   (passengers:8  crew:1),?,0,Fox Glacier Airstrip,Sky Dive New Zealand,ZK-EUF,Fox Glacier Airstrip - Fox Glacier Airstrip,"Seconds after taking off from Fox Glacier airstrip, the aircraft crashed and burned in a field. Investigators blamed an overloaded plane and too much weight towards the back of the plane.",0115,2010,281
ACCIDENT DETAILS,ATR 42-320,ATR 42-320YV-1010,51   (passengers:47  crew:4),"September 13, 2010",17   (passengers:14  crew:3),2350,0,"Puerto Ordaz, Venezuela",Conviasa Airline,YV-1010,Porlamar - Puerto Ordaz,"While en route, the passenger plane crashed and burned in a storage yard of a steel foundry, six miles SE of Puerto Ordaz Airport, after the pilot reported having problems controlling the aircraft.",1032,2010,371
ACCIDENT DETAILS,Sikorsky UH-60 Black Hawk,Sikorsky UH-60 Black Hawk	93-26517,13   (passengers:?  crew:?),"September 21, 2010",10   (passengers:?  crew:?),?,0,"Chopan district, Zabul Province, Afghanistan",International Security Assistance Force,93-26517,?,The military helicopter crashed while en route. There were no reports of enemy fire prior to the accident.,?,2010,?
ACCIDENT DETAILS,Mi-8,Mi-8?,28   (passengers:?  crew:?),"October 06, 2010",28   (passengers:?  crew:?),?,0,"Rasht Valley, Tajikistan",Military - Tajik National Guard,?,?,The military helicopter crashed after hitting power lines.,?,2010,?
ACCIDENT DETAILS,Lockheed L-100 Hercules,Lockheed L-100 Hercules5X-TUC,8   (passengers:0  crew:8),"October 12, 2010",8   (passengers:0  crew:8),?,0,"Near Kabul, Afghanistan",National Air Cargo,5X-TUC,Bagram AB - Kabul,The cargo plane crashed into a mountainside about 18 miles east of Kabul Airport.,1950,2010,4362
ACCIDENT DETAILS,Let 410UVP,Let 410UVP9Q-CUA,2   (passengers:0  crew:2),"October 21, 2010",2   (passengers:0  crew:2),?,0,"Near Bugulumisa, Congo",Tracep,9Q-CUA,Bukavu - Shabund,The cargo plane experienced an engine failure 5 minutes after taking off causing the aircraft to crash.,?,2010,X0101
ACCIDENT DETAILS,ATR-72-212,ATR-72-212CU-T1549,68   (passengers:61  crew:7),"November 04, 2010",68   (passengers:61  crew:7),883,0,"Near Guasimal, Cuba",Aerocaribbean,CU-T1549,Santiago de Cuba- Havana,"While the plane was en route, the pilot radioed an emergency message. Contact was lost and the plane crashed into mountainous terrain. All 61 passenger and 7 crew were killed.Icing  in combination with crew errors in handling the situation.",1745,2010,459
ACCIDENT DETAILS,Beechcraft 1900C-1,Beechcraft 1900C-1AP-BJD,21   (passengers:17  crew:4),"November 05, 2010",21   (passengers:17  crew:4),?,0,"Near Karachi, Pakistan",JS Air,AP-BJD,Karachi - Oil compound in Sindh province,"The plane, carrying Italian oil company personne,l suffered an engine failure on climb-out and was attempting to return to the airport when it nose-dived and crashed near a residential area in Gulistan-e-Jauhar.",0710,2010,UC-157
ACCIDENT DETAILS,Mil Mi-8T,Mil Mi-8TRA-22376,10   (passengers:?  crew:?),"November 25, 2010",7   (passengers:?  crew:?),?,0,"Strezhevoy, Russia",NARZ,RA-22376,?,"The helicopter, which was delivering workers to a drilling site, crashed and burned while attempting to land, after the tail rotor became entangled in wires.",1207,2010,7257
ACCIDENT DETAILS,Ilyushin Il-76TD,Ilyushin Il-76TD4L-GNI,8   (passengers:0  crew:8),"November 28, 2010",8   (passengers:0  crew:8),4412,4,"Karachi, Pakistan",Sun Way,4L-GNI,Karachi - Khartoum,"The cargo plane, carrying 31 tons of relief supplies for Sudan, crashed into buildings of the Naval Housing Colony while attempting to return to runway 07R shortly after taking off from Karachi. The cause of the occurrence was uncontained failure of the 2nd stage disk of LP compressor of Engine # 4 due to fatigue fracture which resulted in in-flight fire and damage to adjacent areas of right wing / flaps to an extent that flight could not be sustained.",0153,2010,43452546
ACCIDENT DETAILS,Tupolev Tu-154M,Tupolev Tu-154MRA-85744,169   (passengers:160  crew:9),"December 04, 2010",2   (passengers:2  crew:0),372,0,"Moscow, Russia",Dagestan Airlines,RA-85744,"Moscow -Makhachkala, Dagestan","About 80km out from Moscow, the crew reported losing all three engines, electrical power and navigation equipment. They decided to divert back to Moscow. Visual contact with the ground could not be established until breaking through the overcast at 500 feet. The aircraft landed, skidded off the runway and broke into three pieces. Unintentional shutdown of supply tank booster pumps when the flight engineer carried out manual fuel transfer procedures during the climb, leading to instantaneous oscillation of fuel flow to the engines and their speed, a shut down of the outer engines and power supply problems in the aircraft for 2 minutes 23 seconds due to the failure of three generators. Failure to use all the possibilities by the crew to restore engine power;",1449,2010,92A-927
ACCIDENT DETAILS,de Havilland Canada DHC-6 Twin Otter,de Havilland Canada DHC-6 Twin Otter9N-AFX,22   (passengers:19  crew:3),"December 15, 2010",22   (passengers:19  crew:3),?,0,"Palunge Hill, Nepal",Tara Air,9N-AFX,Lamidanda - Kathmandu,The plane crashed into Palunge Hill after its right wing clipped the mountaintop while en route.,1530,2010,806
ACCIDENT DETAILS,Tupolev Tu-154B-2,Tupolev Tu-154B-2RA-85588,124   (passengers:116  crew:8),"January 01, 2011",3   (passengers:3  crew:0),348,0,"Surgut, Russia",Kogalmavia,RA-85588,Surgut - Moscow,The passenger jet caught fire and exploded as it taxied for take off. Three passenger were killed and 43 injured during the evacuation. Electrical short.,1525,2011,83A588
ACCIDENT DETAILS,Boeing B-727-286,Boeing B-727-286EP-IRP,105   (passengers:93  crew:12),"January 09, 2011",77   (passengers:65  crew:12),277,0,"Orumiyeh, Iran",Iran Air,EP-IRP,Tehran - Orumiyeh,The accident happened after the plane was unable to land because of poor weather conditions and was attempting a go-around. The aircraft crashed 5 miles from the Orumiyeh airport in a snowy field..,1945,2011,20945/1048
ACCIDENT DETAILS,Pilatus PC-12/47,Pilatus PC-12/47ZS-GAA,9   (passengers:7  crew:2),"February 08, 2011",9   (passengers:7  crew:2),?,0,"Off Plettenberg Bay, South Africa",Majuba Aviation,ZS-GAA,Queenstown - Plettenberg Bay,"When the crew encountered dense fog, limiting visibility, the pilot aborted the landing and was in the process of a go-around when the plane crashed into the sea.",1640,2011,858
ACCIDENT DETAILS,Swearingen SA-227BC Metro III,Swearingen SA-227BC Metro IIIEC-ITP,12   (passengers:10  crew:2),"February 10, 2011",6   (passengers:4  crew:2),7100,0,"Cork, Ireland",Manx2,EC-ITP,Belfast - Cork,"The Metroliner made an approach to Runway 17 in low visibility and the crew decided to go-around. A second attempt to land on Runway 35 was also unsuccessful and resulted in another go-around. During a third landing attempt on Runway 17, the aircraft crashed adjacent to Taxiway C and came to rest upside down. A fire soon erupted. Four passenger and both crew members were killed. Improper crew coordination and procedures led to loss of control of the aircraft. A contributing factor was inadequate maintenance causing the two engines to develop unequal thrust.",0945,2011,BC-789B
ACCIDENT DETAILS,Let L-410 UVPE-20,Let L-410 UVPE-20HR-AUQ,14   (passengers:12  crew:2),"February 14, 2011",14   (passengers:12  crew:2),731,0,"Near Santa Ana Francisco Morazan, Honduras",Central American Airways,HR-AUQ,San Pedro Sula - Tegucigalpa,"The small airlilner crashed into a hill at an elevation of 2,000 feet while on approach in poor visibility. Windshear.",0802,2011,912603
ACCIDENT DETAILS,Antonov 12BP,Antonov 12BPTN-AGK,9   (passengers:5  crew:4),"March 21, 2011",9   (passengers:5  crew:4),?,14,"Pointe-Noire, Congo",Trans Air Cargo,TN-AGK,Brazzaville - Pointe Noire,The cargo plane was approaching Runway 17 at Pointe-Noire Airport when it crashed in the Mvou Mvou residential area and was destroyed.,1530,2011,402006
ACCIDENT DETAILS,Canadair CL-600 CRJ-100ER,Canadair CL-600 CRJ-100ER4L-GAE,33   (passengers:29  crew:4),"April 04, 2011",32   (passengers:28  crew:4),834,0,"Kinshasa, Congo",United Nations,4L-GAE,Kisangani - Kinshasa,"The plane operated on behalf of the United Nations Organization Stabilization Mission and was leased from Geogian Airways. While attempting to land in rain, thunderstorms and strong winds at Kinshasa, the plane missed the runway and crashed. Twenty eight passengers and crew of 4 were killed. One passenger survived. he inappropriate decision of the crew to continue the approach, in face of extremely inclement weather being displayed on their weather radar. Lack of adequate supervision by the Operator to ensure that its crew complied with established procedures including weather avoidance procedures and stabilized approach criteria.",1330,2011,7070
ACCIDENT DETAILS,Mil Mi-172,Mil Mi-172	VT-PHF,23   (passengers:?  crew:?),"April 19, 2011",18   (passengers:?  crew:?),?,0,"Tawang, India",Pawan Hans Helicopters Ltd.,VT-PHF,?,"The helicopter crashed into a hill as it attempted to land at a high altitude helipad Six, including the copilot escaped with minor injuries..",1357,2011,356C06
ACCIDENT DETAILS,Embraer/Piper EMB-810C Seneca,Embraer/Piper EMB-810C SenecaPT-EFS,7   (passengers:6  crew:1),"April 21, 2011",7   (passengers:6  crew:1),?,0,"Manaus, Brazil",AmazonavesAir Taxi,PT-EFS,Manaus - Santarem,The airl taxi crashed about one minute after taking off from Manaus Airport.,1452,2011,810055
ACCIDENT DETAILS,Xian MA-60,Xian MA-60PK-MZK,27   (passengers:21  crew:6),"May 07, 2011",27   (passengers:21  crew:6),?,0,"Off Kaimana, Indonesia",Merpati Nusantara Airlines,PK-MZK,Sorong - Kaimana,"The turboprop had been circling Kaimana Airport for about 15 minutes when it crashed into the sea, 400 meters offshore, in poor weather conditions.",1400,2011,603
ACCIDENT DETAILS,Saab 340A,Saab 340ALV-CEJ,22   (passengers:19  crew:3),"May 18, 2011",22   (passengers:19  crew:3),5428,0,"Near Prahuaniyeu, Argentina",SOL Lineas Aereas,LV-CEJ,Neuquen - Comodoro Rivadavia,"The domestic scheduled passenger flight crashed 12.5 miles north of Prahuaniyeu while en route, after transmitting a distress call. All 19 passengers and crew of three aboard were killed. Inadequate flight planning.
Inadequate operational decision making on the part of the pilot. Loss of situational awareness from the flight crew.",2053,2011,25
ACCIDENT DETAILS,Tupolev Tu-134,Tupolev Tu-134RA-65691,52   (passengers:43  crew:9),"June 20, 2011",47   (passengers:39  crew:8),7R-243,0,"Petrozavodsk, Russia",RusAir Airlines,RA-65691,Moscow - Petrozavodsk,"The airliner crashed while on final to Petrozavodsk in heavy fog, landing 1 kilometers short of the runway. The plane soon broke up and caught on fire. Factors in the accident: heavy fog. The crew could not see the runway's ground lights, but did not decide to turn away and make another attempt at landing. The plane hit nearby trees before crashing. Cooperation among the crew during the landing attempt was poor, with the pilot subordinating himself to the navigator and the co-pilot effectively excluded from decisions. The navigator was intoxicated.",2340,2011,63195/5703
ACCIDENT DETAILS,Ilyushin76TD,Ilyushin76TD4K-AZ55,9   (passengers:0  crew:9),"July 06, 2011",9   (passengers:0  crew:9),?,0,"Near Bagram Air Base, Afghanistan",Silk Way Airlines,4K-AZ55,"Baku, Azerbaijan - Bagram Air Base, Afghanistan","While flying at 12,500 feet, the cargo plane crashed into a mountain peak, exploded and burned about 15 miles from Bagram. The aircraft was loaded with fuel for the International Security Assistance Force in Afghanistan.",2300,2011,2053420680
ACCIDENT DETAILS,Boeing B-727-100,Boeing B-727-1009Q-COP,115   (passengers:108  crew:7),"July 08, 2011",77   (passengers:72  crew:5),952,0,"Kisangani, Congo",Hewa Bora Airways,9Q-COP,Kinshasa - Kisangani,"The airliner crashed and broke up after missing the runway while attempting to land at Bangoka International Airport. There was heavy rain, thunderstorms and limited visibility at the time of the accident.",1500,2011,18933
ACCIDENT DETAILS,Antonov An-24RV,Antonov An-24RVRA-47302,37   (passengers:33  crew:4),"July 11, 2011",7   (passengers:7  crew:0),5007,0,"Near Strezhevoy, Russia",Angara Airlines,RA-47302,Tomsk - Surgut,"After reporting an engine fire in the left engine, the pilot attempted to make an emergency landing at Strezhevoy but ditched into the Orb River. Both pilots were not certified to fly. The captain's license was revoled and the first officer had not finished his requalification exam.",1155,2011,57310302
ACCIDENT DETAILS,Let L-401UVP-20,Let L-401UVP-20PR-NOB,16   (passengers:14  crew:2),"July 13, 2011",16   (passengers:14  crew:2),SP-5007,0,"Recife, Brazil",NOAR Linhas Aéreas,PR-NOB,Recife - Natal,"The regional airliner had taken off from Runway 18 after which the pilot reported that he wanted to return for an emergency landing. He then stated he was attempting a forced landing on the beach of Boa Viagem but instead the plane crashed into a vacant lot and burst into flames near the beach, 1.2 miles from the runway threshold.",1153,2011,2722
ACCIDENT DETAILS,Lockheed C-130 Hercule,Lockheed C-130 HerculeCNA-OQ,80   (passengers:71  crew:9),"July 26, 2011",80   (passengers:71  crew:9),?,0,"Near Guelmim, Morocco",Military - Royal Moroccan Air Force,CNA-OQ,Dakhla - Guelmim - Kinitra,"The military transport plane crashed in the mountain, 6 miles northeast of Guelmim in bad weather while attempting to land.",0900,2011,4892
ACCIDENT DETAILS,Boeing B-747-48EF,Boeing B-747-48EFHL-7604,2   (passengers:0  crew:2),"July 28, 2011",2   (passengers:0  crew:2),991,0,"Off Jeju, South Korean",Asiana Airlines,HL-7604,Seoul - Shanghai,"The cargo plane crashed into the sea about 70 miles west of Jeju after the crew reported a fire in a cargo hold. The plane was carrying 58 tons of electronic and machine parts, including lithium batteries.",0412,2011,29907/1370
ACCIDENT DETAILS,Boeing CH-47 Chinook,Boeing CH-47 Chinook?,38   (passengers:?  crew:?),"August 06, 2011",38   (passengers:?  crew:?),?,0,"Tangi Valley, Afghanistan",Military - U.S. Army,?,?,"Thirty-eight people, including 31 U.S. special forces troops and 7 Afghan soldiers were killed when their helicopter was shot down with a rocket-propelled grenade during overnight operations against Taliban insurgents.",?,2011,?
ACCIDENT DETAILS,Antonov 12,Antonov 12RA-11125,11   (passengers:2  crew:9),"August 09, 2011",11   (passengers:2  crew:9),LN-9209,0,"Near Omsukchan, Russia",Avis Amur,RA-11125,Magdan - Keperveem,"After leaving Magdan the crew of the cargo plane reported a fuel leak and an engine fire. While trying to return to Magdan, the plane crashed 6 miels from Omsukchan, 190 miles from its original take-off point. The plane carried 18 tons of cargo.",1434,2011,3341006
ACCIDENT DETAILS,Boeing B-737-210C(A) Combi,Boeing B-737-210C(A) CombiC-GNWN,15   (passengers:11  crew:4),"August 20, 2011",12   (passengers:8  crew:4),6560,0,"Resolute Bay, Nunavut, Canada",First Air,C-GNWN,Yellowknife - Resolute Bay,"While on instrument approach and initiating a go-around, the plane hit a hill side 2km east of the runway and broke up into 3 pieces.The crew had initiated the go-around 2 seconds before impact. The late initiation and subsequent management of the descent resulted in the aircraft turning onto final approach 600 feet above the glideslope, increasing the crews workload and reducing their capacity to assess and resolve the navigational issues during the remainder of the approach.",1250,2011,21067/414
ACCIDENT DETAILS,Eurocopter AS350B2,Eurocopter AS350B2N352LN,4   (passengers:3  crew:1),"August 26, 2011",4   (passengers:3  crew:1),?,0,"Mosby, Missouri",LifeNet,N352LN,Bethany - Mosby,"The helicopter was headed for Mosby to refuel when it crashed in a field 1.7 nm north-northeast of Midwest National Air Center. The pilot, nurse, paramedic and patient were all killed.",1900,2011,3728
ACCIDENT DETAILS,CASA C-212 Aviocar 300DF,CASA C-212 Aviocar 300DF966,21   (passengers:17  crew:4),"September 02, 2011",21   (passengers:17  crew:4),?,0,"Juan Fernandez Island, Chile",Chilean Air Force,966,Santiago - Juan Fernandez Island,"The aircraft attempted to land at the airport on two occasions, but strong winds prevented it from landing.The aircraft subsequently crashed into the sea 1 kilometre (1,100 yd) off the island on its third approach. One of those killed was Felipe Camiroaga, the most important TV entertainer in Chile.",1748,2011,443
ACCIDENT DETAILS,Swearingen SA-227BC Metroliner III,Swearingen SA-227BC Metroliner IIICP-2548,9   (passengers:7  crew:2),"September 06, 2011",8   (passengers:6  crew:2),A4-238,0,"Near Trinidad, Bolivia",Aerocon,CP-2548,"Santa Cruz - Trinidad, Bolivia","The plane crashed into the jungle while on approach to Runway 14 at Trinidad Airport. After the crew reported they were turning into the final approach, radio contact was lost. The plane was found 2 days later, 10 km from the airport. One passenger survived.",1850,2011,BC-768B
ACCIDENT DETAILS,Yakovlev 42D,Yakovlev 42DRA-42434,45   (passengers:37  crew:8),"September 07, 2011",44   (passengers:37  crew:7),9633,0,"Yaroslavl, Russia",YAK Service,RA-42434,Yaroslavl - Minsk,"The plane failed to climb after takeoff and crashed into an antenna outside the airport perimeter and came to rest in the Volga River, 1km from the runway. The plane carried the entire Lokomotiv Yaroslavl ice hockey team. Pilot error. Both pilots had experience on the Yak-40 but were assigned to switch between types , contrary to proper practice. They apparently had never learned the correct position for their feet on takeoff. In the Yak-42, and like virtually all other existing Russian and Western planes, a pilot steers the aircraft by pressing the lower part of pedals and activates the brakes by pressing their upper part.But instead of putting his heels on the cockpit floor as required,  One pilot left his feet resting on the pedals, as correct for the
Yak-40. This applied the brakes, causing a downward pitch force that  prevented the plane from rotating to take off. They made the fatal mistake of failing to abort the takeoff, but kept applying more upward
  pitch with the result that when the plane finally left the ground and the downward pitch force stopped, it went into a stall within seconds.",1550,2011,4520424305017
